source	canonical_subj_id	subject_text	subj_role	word	lemma	verb_id	negated	original_subj_ids	subj_gender	subj_name_variant	canonical_obj_id	object_text	obj_role	original_obj_ids	obj_gender	obj_name_variant
svo	71	Philip Lombard	subj	got	get	1140	False	[71]	m	['He']	71	Philip Lombard	obj	[71]	m	['to keep his mind on the job']
svo	71	Philip Lombard	subj	empowered	empower	1319	False	[71]	m	['I']	71	Philip Lombard	obj	[72, 8, 9]	m	['to hand you one hundred guineas in return for which you will travel to Sticklehaven , Devon']
svo	71	Philip Lombard	subj	hold	hold	1367	False	[72]	m	['you']	71	Philip Lombard	obj	[72]	m	['yourself']
svo	71	Philip Lombard	subj	said	say	1379	False	[71]	m	['Lombard']	71	Philip Lombard	obj	[71]	m	['Fingering his small moustache']
svo	71	Philip Lombard	subj	going	go	1569	False	[71]	m	['he']	71	Philip Lombard	obj	[2, 71]	m	['to enjoy himself at Indian Island']
svo	84	Edward George Armstrong	subj	driving	drive	2387	False	[86]	m	['Dr. Armstrong']	74	Isaac Morris	obj	[74]	m	['Morris']
svo	84	Edward George Armstrong	subj	managed	manage	2804	False	[86]	m	['he']	84	Edward George Armstrong	obj	[86]	m	['to pull himself together in time after that business ten no , fifteen years ago']
svo	90	Anthony James Marston	subj	stretched	stretch	3150	False	[90]	m	['he']	90	Anthony James Marston	obj	[90]	m	['himself']
svo	93	William Henry Blore	subj	stood	stand	3410	False	[93]	m	['He']	93	William Henry Blore	obj	[93]	m	['himself']
svo	93	William Henry Blore	subj	scrutinized	scrutinize	3413	False	[93]	m	['He']	93	William Henry Blore	obj	[93]	m	['himself']
svo	55	Lawrence John Wargrave	subj	followed	follow	4139	False	[55]	m	['Mr. Justice Wargrave']	76	Emily Brent	obj	[76]	f	['her']
svo	56	Owen	subj	wired	wire	4544	False	[95]		['she']	125	Vera Elizabeth Claythorne	obj	[125]	f	['me']
svo	55	Lawrence John Wargrave	subj	seemed	seem	5371	False	[55]	m	['He']	55	Lawrence John Wargrave	obj	[369, 55]	m	['to be wishing that he could order the court to be cleared']
svo	76	Emily Brent	subj	permitted	permit	5718	False	[76]	f	['Miss Brent']	76	Emily Brent	obj	[76]	f	['herself']
svo	91	Badger Berkeley	subj	thinking	think	6705	False	[91]	m	['Badger']	90	Anthony James Marston	obj	[92]	m	['to let him in for this']
svo	125	Vera Elizabeth Claythorne	subj	followed	follow	6773	False	[125]	f	['Vera']	94	Ethel Rogers	obj	[94]	f	['Mrs. Rogers']
svo	56	Owen	subj	mention	mention	7061	True	[95]		['Mrs. Owen']	125	Vera Elizabeth Claythorne	obj	[125]	f	['me']
svo	94	Ethel Rogers	subj	seen	see	7075	True	[94]	f	['I']	56	Owen	obj	[95]		['Mrs. Owen']
svo	125	Vera Elizabeth Claythorne	subj	seen	see	7316	False	[125]	f	['I']	56	Owen	obj	[89]		['Owens']
svo	84	Edward George Armstrong	subj	Remember	remember	8183	False	[86]	m	['Armstrong']	84	Edward George Armstrong	obj	[86]	m	['him']
svo	55	Lawrence John Wargrave	subj	asked	ask	8499	False	[338]	m	['Judge']	55	Lawrence John Wargrave	obj	[55]	m	['him']
svo	93	William Henry Blore	subj	mean	mean	8700	True	[93]	m	['He']	93	William Henry Blore	obj	[93]	m	['to bungle his job']
svo	93	William Henry Blore	subj	thought	think	8726	False	[93]	m	['He']	93	William Henry Blore	obj	[1976, 1977, 93]	m	['Remember this island when I was a kid']
svo	55	Lawrence John Wargrave	subj	grunted	grunt	9336	False	[55]	m	['Mr. Justice Wargrave']	55	Lawrence John Wargrave	obj	[55]	m	['himself']
svo	55	Lawrence John Wargrave	subj	helped	help	9344	False	[55]	m	['Mr. Justice Wargrave']	55	Lawrence John Wargrave	obj	[55]	m	['himself']
svo	76	Emily Brent	subj	say	say	9589	False	[76]	f	['you']	56	Owen	obj	[95]		['Owen']
svo	55	Lawrence John Wargrave	subj	came	come	9652	False	[338]	m	['judge']	76	Emily Brent	obj	[76]	f	['Emily Brent']
svo	55	Lawrence John Wargrave	subj	sat	sit	9654	False	[338]	m	['judge']	76	Emily Brent	obj	[76]	f	['Emily Brent']
svo	94	Ethel Rogers	subj	like	like	11132	False	[94]	f	['I']	84	Edward George Armstrong	obj	[287]	m	"['to know "" He was interrupted']"
svo	55	Lawrence John Wargrave	subj	said	say	11292	False	[55]	m	['Mr. Justice Wargrave']	55	Lawrence John Wargrave	obj	[55]	m	['Let me get this quite clear']
svo	90	Anthony James Marston	subj	said	say	11610	False	[90]	m	['Tony Marston']	90	Anthony James Marston	obj	[90, 1891]	m	['Do n't know about you , sir , but I could do with a drink']
svo	94	Ethel Rogers	subj	tell	tell	11857	False	[94]	f	['you']	94	Ethel Rogers	obj	[94]	f	['me']
svo	55	Lawrence John Wargrave	subj	said	say	12605	False	[338]	m	['judge']	90	Anthony James Marston	obj	[123]	m	['Marston']
svo	55	Lawrence John Wargrave	subj	asked	ask	13257	False	[55]	m	['Mr. Justice Wargrave']	56	Owen	obj	[0, 122]		['Enclosed a handsome money order for expenses and instructed me as to what he wanted done']
svo	84	Edward George Armstrong	subj	met	meet	14077	False	[86]	m	['He']	128	Matthews	obj	[128]	m	['Matthews']
svo	90	Anthony James Marston	subj	looked	look	14895	False	[92]	m	['He']	90	Anthony James Marston	obj	[92]	m	['himself']
svo	90	Anthony James Marston	subj	went	go	14909	False	[92]	m	['He']	90	Anthony James Marston	obj	[92]	m	['himself']
svo	90	Anthony James Marston	subj	helped	help	14916	False	[92]	m	['He']	90	Anthony James Marston	obj	[92]	m	['himself']
svo	71	Philip Lombard	subj	said	say	14983	False	[71]	m	['Lombard']	94	Ethel Rogers	obj	[94]	f	['Go ahead , Rogers']
svo	93	William Henry Blore	subj	said	say	15211	False	[93]	m	['He']	133	Jennifer Brady	obj	[133]	f	['Came into a little something at her death , though ?']
svo	94	Ethel Rogers	subj	drew	draw	15229	False	[94]	f	['Rogers']	94	Ethel Rogers	obj	[94]	f	['himself']
svo	76	Emily Brent	subj	glanced	glance	15506	False	[76]	f	['Emily Brent']	76	Emily Brent	obj	[76]	f	['herself']
svo	76	Emily Brent	subj	drew	draw	15513	False	[76]	f	['Emily Brent']	76	Emily Brent	obj	[76]	f	['herself']
svo	84	Edward George Armstrong	subj	kill	kill	16798	False	[86]	m	['he']	84	Edward George Armstrong	obj	[86]	m	['himself']
svo	84	Edward George Armstrong	subj	enjoying	enjoy	16809	False	[86]	m	['He']	84	Edward George Armstrong	obj	[86]	m	['himself']
svo	90	Anthony James Marston	subj	go	go	16917	False	[92]	m	['Anthony Marston']	90	Anthony James Marston	obj	[92]	m	['himself']
svo	90	Anthony James Marston	subj	help	help	16920	False	[92]	m	['Anthony Marston']	90	Anthony James Marston	obj	[92]	m	['himself']
svo	84	Edward George Armstrong	subj	laid	lay	17023	False	[86]	m	['Armstrong']	90	Anthony James Marston	obj	[92]	m	['him']
svo	71	Philip Lombard	subj	laid	lay	17023	False	[71]	m	['Lombard']	90	Anthony James Marston	obj	[92]	m	['him']
svo	55	Lawrence John Wargrave	subj	prepared	prepare	17387	False	[55]	m	['Mr. Justice Wargrave']	84	Edward George Armstrong	obj	[86]	m	['himself']
svo	84	Edward George Armstrong	subj	remembered	remember	17400	False	[86]	m	['He']	119	Edward Seton	obj	[119]	m	['Seton']
svo	80	John Gordon Macarthur	subj	kept	keep	17769	False	[80]	m	['he']	113	Arthur Richmond	obj	[113]	m	['seeing Arthur Richmond 's face']
svo	80	John Gordon Macarthur	subj	liked	like	17778	False	[80]	m	['He']	113	Arthur Richmond	obj	[113]	m	['Arthur']
svo	140	Leslie Macarthur	subj	liked	like	17794	False	[140]	f	['Leslie']	80	John Gordon Macarthur	obj	[80]	m	['him']
svo	140	Leslie Macarthur	subj	teased	tease	17859	False	[140]	f	['She']	113	Arthur Richmond	obj	[113]	m	['him']
svo	140	Leslie Macarthur	subj	ragged	rag	17867	False	[140]	f	['She']	113	Arthur Richmond	obj	[113]	m	['him']
svo	113	Arthur Richmond	subj	loved	love	17911	False	[113]	m	['He']	140	Leslie Macarthur	obj	[140]	f	['Leslie']
svo	113	Arthur Richmond	subj	see	see	17916	False	[113]	m	['He']	140	Leslie Macarthur	obj	[140]	f	['her']
svo	113	Arthur Richmond	subj	loved	love	17942	False	[113]	m	['He']	140	Leslie Macarthur	obj	[140]	f	['Leslie']
svo	113	Arthur Richmond	subj	believed	believe	17947	False	[113]	m	['he']	140	Leslie Macarthur	obj	[140]	f	['Leslie']
svo	113	Arthur Richmond	subj	tried	try	18140	False	[113]	m	['He']	113	Arthur Richmond	obj	[113]	m	['to make his manner to Richmond']
svo	141	Armitage	subj	sent	send	18224	False	[141]	m	['He']	113	Arthur Richmond	obj	[113]	m	['Richmond']
svo	141	Armitage	subj	sent	send	18250	False	[141]	m	['he']	113	Arthur Richmond	obj	[113]	m	['Richmond']
svo	141	Armitage	subj	told	tell	18397	True	[141]	m	['He']	140	Leslie Macarthur	obj	[140]	f	['her']
svo	141	Armitage	subj	found	find	18402	False	[141]	m	['he']	140	Leslie Macarthur	obj	[140]	f	['her']
svo	84	Edward George Armstrong	subj	wrapped	wrap	20119	False	[86]	m	['He']	84	Edward George Armstrong	obj	[86]	m	['himself']
svo	84	Edward George Armstrong	subj	followed	follow	20125	False	[86]	m	['He']	94	Ethel Rogers	obj	[94]	f	['Rogers']
svo	84	Edward George Armstrong	subj	straightened	straighten	20160	False	[86]	m	['he']	84	Edward George Armstrong	obj	[86]	m	['himself']
svo	84	Edward George Armstrong	subj	said	say	20256	False	[86]	m	['he']	84	Edward George Armstrong	obj	[737, 94]	m	"['Doctor ? "" Rogers stared']"
svo	93	William Henry Blore	subj	get	get	22202	False	[93]	m	['I']	94	Ethel Rogers	obj	[94]	f	['you']
svo	71	Philip Lombard	subj	feel	feel	22800	False	[71]	m	['I']	84	Edward George Armstrong	obj	[86]	m	['you']
svo	71	Philip Lombard	subj	thank	thank	22807	False	[71]	m	['I']	84	Edward George Armstrong	obj	[86]	m	['you']
svo	84	Edward George Armstrong	subj	said	say	22968	False	[86]	m	['He']	84	Edward George Armstrong	obj	[86]	m	['Pull yourself together']
svo	94	Ethel Rogers	subj	followed	follow	23006	False	[94]	f	['Rogers']	84	Edward George Armstrong	obj	[287]	m	['him']
svo	125	Vera Elizabeth Claythorne	subj	understand	understand	23887	True	[125]	f	['I']	76	Emily Brent	obj	[76]	f	['you']
svo	76	Emily Brent	subj	understand	understand	23942	False	[76]	f	['I']	76	Emily Brent	obj	[76]	f	['you']
svo	125	Vera Elizabeth Claythorne	subj	keep	keep	24275	True	[125]	f	['I']	109	Beatrice Taylor	obj	[109]	f	['her']
svo	109	Beatrice Taylor	subj	killed	kill	24347	False	[109]	f	['She']	109	Beatrice Taylor	obj	[109]	f	['herself']
svo	109	Beatrice Taylor	subj	threw	throw	24355	False	[109]	f	['she']	109	Beatrice Taylor	obj	[109]	f	['herself']
svo	76	Emily Brent	subj	blame	blame	24401	True	[76]	f	['you']	76	Emily Brent	obj	[76]	f	['yourself']
svo	76	Emily Brent	subj	drew	draw	24407	False	[76]	f	['Emily Brent']	76	Emily Brent	obj	[76]	f	['herself']
svo	84	Edward George Armstrong	subj	asked	ask	24908	False	[86]	m	['I']	94	Ethel Rogers	obj	[94]	f	['Rogers']
svo	55	Lawrence John Wargrave	subj	murdered	murder	25164	False	[55]	m	['Wargrave']	119	Edward Seton	obj	[119]	m	['Edward Seton']
svo	55	Lawrence John Wargrave	subj	murdered	murder	25170	False	[55]	m	['Wargrave']	119	Edward Seton	obj	[119]	m	['him']
svo	71	Philip Lombard	subj	saying	say	25252	False	[71]	m	['Philip Lombard']	56	Owen	obj	[56]		['Hence Mr. Owen']
svo	71	Philip Lombard	subj	tell	tell	25408	False	[71]	m	['you']	84	Edward George Armstrong	obj	[86]	m	['me']
svo	90	Anthony James Marston	subj	meant	mean	25561	False	[92]	m	['Anthony Marston']	90	Anthony James Marston	obj	[296, 92]	m	['to do away with himself before he came here']
svo	94	Ethel Rogers	subj	given	give	25741	False	[94]	f	['Rogers']	84	Edward George Armstrong	obj	[86]	m	['him']
svo	90	Anthony James Marston	subj	dies	die	25857	False	[92]	m	['Anthony Marston']	94	Ethel Rogers	obj	[153]	f	['herself']
svo	94	Ethel Rogers	subj	choking	choke	25861	False	[153]	f	['Mother Rogers']	94	Ethel Rogers	obj	[153]	f	['herself']
svo	94	Ethel Rogers	subj	oversleeps	oversleep	25870	False	[153]	f	['Mother Rogers']	94	Ethel Rogers	obj	[153]	f	['herself']
svo	71	Philip Lombard	subj	took	take	25886	False	[71]	m	['Lombard']	84	Edward George Armstrong	obj	[86]	m	['him']
svo	125	Vera Elizabeth Claythorne	subj	avoided	avoid	27705	False	[125]	f	['She']	76	Emily Brent	obj	[76]	f	['Emily Brent']
svo	93	William Henry Blore	subj	found	find	28646	False	[93]	m	['he']	84	Edward George Armstrong	obj	[86]	m	['Armstrong']
svo	93	William Henry Blore	subj	left	leave	28651	False	[93]	m	['he']	84	Edward George Armstrong	obj	[86]	m	['him']
svo	93	William Henry Blore	subj	recovered	recover	29734	False	[93]	m	['Blore']	93	William Henry Blore	obj	[93]	m	['himself']
svo	84	Edward George Armstrong	subj	said	say	30304	False	[737]	m	['You']	84	Edward George Armstrong	obj	[737]	m	['yourself']
svo	94	Ethel Rogers	subj	addressed	address	31541	False	[94]	f	['Rogers']	76	Emily Brent	obj	[76]	f	['Miss Brent']
svo	55	Lawrence John Wargrave	subj	express	express	32767	False	[338]	m	['I']	55	Lawrence John Wargrave	obj	[338]	m	['myself']
svo	55	Lawrence John Wargrave	subj	said	say	32919	False	[55]	m	['Wargrave']	71	Philip Lombard	obj	[71]	m	['Lombard']
svo	55	Lawrence John Wargrave	subj	addressed	address	33334	False	[55]	m	['Mr. Justice Wargrave']	84	Edward George Armstrong	obj	[86]	m	['Armstrong']
svo	55	Lawrence John Wargrave	subj	seeing	see	33492	False	[55]	m	['He']	125	Vera Elizabeth Claythorne	obj	[125]	f	['me']
svo	55	Lawrence John Wargrave	subj	like	like	33514	True	[55]	m	['he']	55	Lawrence John Wargrave	obj	[338]	m	['me']
svo	55	Lawrence John Wargrave	subj	see	see	33904	True	[55]	m	['I']	71	Philip Lombard	obj	[71]	m	['him']
svo	94	Ethel Rogers	subj	lifted	lift	34497	False	[94]	f	['Mrs. Rogers']	90	Anthony James Marston	obj	[92]	m	['Anthony Marston']
svo	94	Ethel Rogers	subj	lifted	lift	34497	False	[94]	f	['Mrs. Rogers']	71	Philip Lombard	obj	[97]	m	['Mr. Lombard']
svo	94	Ethel Rogers	subj	lifted	lift	34497	False	[94]	f	['Mrs. Rogers']	84	Edward George Armstrong	obj	[86]	m	['Dr. Armstrong']
svo	55	Lawrence John Wargrave	subj	sent	send	34515	False	[55]	m	['He']	94	Ethel Rogers	obj	[94]	f	['Rogers']
svo	93	William Henry Blore	subj	get	get	34772	True	[157]	m	['I']	93	William Henry Blore	obj	[157]	m	['you']
svo	93	William Henry Blore	subj	said	say	35275	False	[93]	m	['Blore']	55	Lawrence John Wargrave	obj	[55]	m	['Mr. Justice Wargrave']
svo	125	Vera Elizabeth Claythorne	subj	strike	strike	36882	False	[125]	f	['You']	71	Philip Lombard	obj	[71]	m	['me']
svo	125	Vera Elizabeth Claythorne	subj	said	say	36916	False	[125]	f	['Vera']	71	Philip Lombard	obj	[71]	m	['Thank you']
svo	125	Vera Elizabeth Claythorne	subj	see	see	36978	True	[125]	f	['I']	71	Philip Lombard	obj	[71]	m	['you']
svo	55	Lawrence John Wargrave	subj	gets	get	37152	False	[55]	m	['He']	55	Lawrence John Wargrave	obj	[55]	m	['to see himself as all powerful , as holding the power of life and death']
svo	125	Vera Elizabeth Claythorne	subj	answered	answer	37223	False	[125]	f	['Vera']	84	Edward George Armstrong	obj	[86]	m	['Dr. Armstrong']
svo	84	Edward George Armstrong	subj	put	put	37248	False	[287]	m	['doctor']	84	Edward George Armstrong	obj	[287]	m	['him']
svo	71	Philip Lombard	subj	put	put	37248	False	[71]	m	['I']	84	Edward George Armstrong	obj	[287]	m	['him']
svo	84	Edward George Armstrong	subj	gave	give	37306	False	[287]	m	['he']	94	Ethel Rogers	obj	[94]	f	['her']
svo	84	Edward George Armstrong	subj	killed	kill	37366	False	[287]	m	['he']	80	John Gordon Macarthur	obj	[80]	m	['Macarthur']
svo	71	Philip Lombard	subj	left	leave	37381	True	[71]	m	['I']	84	Edward George Armstrong	obj	[287]	m	['him']
svo	93	William Henry Blore	subj	got	get	37671	False	[93]	m	['You']	93	William Henry Blore	obj	[93]	m	['you']
svo	93	William Henry Blore	subj	said	say	37762	False	[93]	m	['Blore']	94	Ethel Rogers	obj	[1180, 94]	f	['Got any ideas yourself , Rogers']
svo	84	Edward George Armstrong	subj	said	say	38133	False	[86]	m	['Armstrong']	55	Lawrence John Wargrave	obj	[338, 86]	m	"['"" Armstrong stared at him']"
svo	71	Philip Lombard	subj	went	go	39137	False	[71]	m	['He']	71	Philip Lombard	obj	[71]	m	['him']
svo	71	Philip Lombard	subj	raised	raise	39511	False	[71]	m	['He']	71	Philip Lombard	obj	[71]	m	['himself']
svo	71	Philip Lombard	subj	found	find	39864	False	[71]	m	['He']	84	Edward George Armstrong	obj	[86]	m	['Armstrong']
svo	93	William Henry Blore	subj	assure	assure	40132	False	[93]	m	['I']	93	William Henry Blore	obj	[93]	m	['you']
svo	93	William Henry Blore	subj	said	say	40151	False	[93]	m	['He']	94	Ethel Rogers	obj	[94]	f	['Seen anything of Rogers']
svo	76	Emily Brent	subj	seen	see	40174	True	[76]	f	['I']	55	Lawrence John Wargrave	obj	[55]	m	['him']
svo	125	Vera Elizabeth Claythorne	subj	said	say	40852	False	[125]	f	['she']	84	Edward George Armstrong	obj	[86]	m	['Thank you ...']
svo	76	Emily Brent	subj	said	say	41061	False	[76]	f	['Emily Brent']	84	Edward George Armstrong	obj	[86]	m	['Thank you']
svo	93	William Henry Blore	subj	said	say	41095	False	[157]	m	['Ex - Inspector Blore']	93	William Henry Blore	obj	[157]	m	['Know what I 'm thinking']
svo	71	Philip Lombard	subj	ask	ask	41347	False	[71]	m	['you']	93	William Henry Blore	obj	[157]	m	['me']
svo	71	Philip Lombard	subj	ask	ask	41518	False	[71]	m	['you']	93	William Henry Blore	obj	[157]	m	['me']
svo	71	Philip Lombard	subj	suspect	suspect	41631	True	[71]	m	['you']	93	William Henry Blore	obj	[157]	m	['me']
svo	93	William Henry Blore	subj	paused	pause	41677	False	[157]	m	['He']	93	William Henry Blore	obj	[157, 71]	m	['Hope you feel the same about me']
svo	93	William Henry Blore	subj	said	say	41679	False	[157]	m	['He']	93	William Henry Blore	obj	[157, 71]	m	['Hope you feel the same about me']
svo	93	William Henry Blore	subj	demanded	demand	41946	False	[157]	m	['I']	93	William Henry Blore	obj	[157]	m	['Blore']
svo	71	Philip Lombard	subj	going	go	42012	False	[71]	m	['I']	94	Ethel Rogers	obj	[2610, 2611, 94]	f	['to go the way of Rogers and the rest of them']
svo	71	Philip Lombard	subj	tell	tell	42039	False	[71]	m	['I']	93	William Henry Blore	obj	[157]	m	['you']
svo	125	Vera Elizabeth Claythorne	subj	prided	pride	42277	False	[125]	f	['she']	125	Vera Elizabeth Claythorne	obj	[125]	f	['herself']
svo	80	John Gordon Macarthur	subj	married	marry	42718	False	[80]	m	['General Macarthur']	159	Elsie MacPherson	obj	[159]	f	['Elsie MacPherson']
svo	76	Emily Brent	subj	wanted	want	42797	True	[76]	f	['Emily Brent']	109	Beatrice Taylor	obj	[109]	f	['to let her in']
svo	76	Emily Brent	subj	like	like	43253	False	[76]	f	['I']	125	Vera Elizabeth Claythorne	obj	[125]	f	['to help Miss Claythorne']
svo	76	Emily Brent	subj	know	know	43263	True	[76]	f	['I']	125	Vera Elizabeth Claythorne	obj	[125]	f	['to help Miss Claythorne']
svo	76	Emily Brent	subj	please	please	43350	False	[76]	f	['you']	76	Emily Brent	obj	[76]	f	['Miss Brent']
svo	125	Vera Elizabeth Claythorne	subj	said	say	43416	False	[125]	f	['Vera']	76	Emily Brent	obj	[76]	f	['Thank you']
svo	109	Beatrice Taylor	subj	had	have	43567	False	[109]	f	['She']	109	Beatrice Taylor	obj	[109]	f	['to turn her head']
svo	109	Beatrice Taylor	subj	see	see	43576	False	[109]	f	['she']	109	Beatrice Taylor	obj	[109]	f	['her']
svo	125	Vera Elizabeth Claythorne	subj	go	go	43687	False	[125]	f	['I']	76	Emily Brent	obj	[76]	f	['her']
svo	125	Vera Elizabeth Claythorne	subj	fetch	fetch	43689	False	[125]	f	['I']	76	Emily Brent	obj	[76]	f	['her']
svo	55	Lawrence John Wargrave	subj	ask	ask	44093	False	[338]	m	['I']	84	Edward George Armstrong	obj	[86]	m	['Dr. Armstrong']
svo	84	Edward George Armstrong	subj	braced	brace	44541	False	[86]	m	['He']	84	Edward George Armstrong	obj	[86]	m	['himself']
svo	55	Lawrence John Wargrave	subj	ask	ask	44767	False	[338]	m	['I']	71	Philip Lombard	obj	[71]	m	['you']
svo	125	Vera Elizabeth Claythorne	subj	ask	ask	45340	False	[125]	f	['I']	125	Vera Elizabeth Claythorne	obj	[125]	f	['you']
svo	55	Lawrence John Wargrave	subj	went	go	45535	False	[55]	m	['He']	55	Lawrence John Wargrave	obj	[55]	m	['him']
svo	93	William Henry Blore	subj	said	say	45728	False	[157]	m	['Blore']	93	William Henry Blore	obj	[157, 2670, 2671]	m	['Seems to me its owner is the most likely person to know that']
svo	55	Lawrence John Wargrave	subj	tell	tell	45766	False	[338]	m	['I']	93	William Henry Blore	obj	[157]	m	['you']
svo	84	Edward George Armstrong	subj	watching	watch	46882	False	[86]	m	['He']	125	Vera Elizabeth Claythorne	obj	[125]	f	['me']
svo	125	Vera Elizabeth Claythorne	subj	urged	urge	47804	False	[125]	f	['Vera Claythorne']	125	Vera Elizabeth Claythorne	obj	[125]	f	['herself']
svo	84	Edward George Armstrong	subj	supported	support	48376	False	[86]	m	['Armstrong']	125	Vera Elizabeth Claythorne	obj	[125]	f	['her']
svo	84	Edward George Armstrong	subj	commit	commit	48686	True	[86]	m	['Armstrong']	84	Edward George Armstrong	obj	[86]	m	['himself']
svo	55	Lawrence John Wargrave	subj	following	follow	48857	False	[338]	m	['he']	84	Edward George Armstrong	obj	[86]	m	['me']
svo	84	Edward George Armstrong	subj	said	say	49606	False	[86]	m	['Armstrong']	71	Philip Lombard	obj	[71]	m	['Lombard swore']
svo	125	Vera Elizabeth Claythorne	subj	told	tell	50163	False	[125]	f	['She']	125	Vera Elizabeth Claythorne	obj	[125]	f	['herself']
svo	125	Vera Elizabeth Claythorne	subj	begin	begin	50281	False	[125]	f	['She']	69	Cyril Ogilvie Hamilton	obj	[146, 69, 68, 125]	m	['to think of Cornwall of Hugo of of what she 'd said to Cyril']
svo	125	Vera Elizabeth Claythorne	subj	tell	tell	50380	False	[125]	f	['I']	69	Cyril Ogilvie Hamilton	obj	[69]	m	['you what']
svo	71	Philip Lombard	subj	joined	join	52516	False	[71]	m	['He']	93	William Henry Blore	obj	[93]	m	['Blore']
svo	125	Vera Elizabeth Claythorne	subj	amused	amuse	52863	False	[125]	f	['She']	125	Vera Elizabeth Claythorne	obj	[125]	f	['herself']
svo	84	Edward George Armstrong	subj	pretend	pretend	52897	False	[86]	m	['he']	84	Edward George Armstrong	obj	[86]	m	['to be mortally wounded himself']
svo	84	Edward George Armstrong	subj	inform	inform	52919	False	[86]	m	['He']	125	Vera Elizabeth Claythorne	obj	[125]	f	['her']
svo	71	Philip Lombard	subj	like	like	54600	False	[97]	m	['you']	84	Edward George Armstrong	obj	[86]	m	['Armstrong']
svo	93	William Henry Blore	subj	murmured	murmur	54734	False	[93]	m	['Blore']	84	Edward George Armstrong	obj	[86]	m	['Rather giving himself away']
svo	94	Ethel Rogers	subj	overslept	oversleep	54814	False	[94]	f	['she']	94	Ethel Rogers	obj	[94]	f	['herself']
svo	93	William Henry Blore	subj	said	say	55559	False	[93]	m	['Blore']	125	Vera Elizabeth Claythorne	obj	[125]	f	['you']
svo	93	William Henry Blore	subj	thank	thank	55605	False	[93]	m	['Blore']	125	Vera Elizabeth Claythorne	obj	[125]	f	['you']
svo	93	William Henry Blore	subj	began	begin	55614	False	[93]	m	['Blore']	93	William Henry Blore	obj	[93, 189]	m	['to make his way up the steep slope to the house']
svo	125	Vera Elizabeth Claythorne	subj	got	get	55772	False	[125]	f	['You']	84	Edward George Armstrong	obj	[0, 86]	m	['to admit that if it 's true , I ca n't possibly have had anything to do with Armstrong 's disappearance']
svo	84	Edward George Armstrong	subj	hide	hide	56734	False	[86]	m	['he']	84	Edward George Armstrong	obj	[86]	m	['himself']
svo	84	Edward George Armstrong	subj	find	find	56757	True	[86]	m	['you']	84	Edward George Armstrong	obj	[86]	m	['him']
svo	84	Edward George Armstrong	subj	find	find	56765	True	[86]	m	['you']	84	Edward George Armstrong	obj	[86]	m	['him']
svo	125	Vera Elizabeth Claythorne	subj	facing	face	58039	False	[125]	f	['She']	71	Philip Lombard	obj	[71]	m	['him']
svo	125	Vera Elizabeth Claythorne	subj	wanted	want	58360	False	[125]	f	['She']	125	Vera Elizabeth Claythorne	obj	[125]	f	['to throw herself on her bed and sleep and sleep and sleep']
svo	125	Vera Elizabeth Claythorne	subj	mind	mind	58389	True	[125]	f	['she']	125	Vera Elizabeth Claythorne	obj	[125]	f	['her']
svo	173	Thomas Legge	subj	said	say	61240	False	[173]	m	['Legge']	173	Thomas Legge	obj	[173, 174]	m	['Care to know what I think , Maine']
svo	56	Owen	subj	spirited	spirit	61531	False	[127]		['he']	56	Owen	obj	[127]		['himself']
svo	84	Edward George Armstrong	subj	managed	manage	62047	False	[86]	m	['Armstrong']	84	Edward George Armstrong	obj	[209, 86]	m	['to polish off the other three before he went into the sea that night']
svo	125	Vera Elizabeth Claythorne	subj	shot	shoot	62392	False	[125]	f	['she']	71	Philip Lombard	obj	[71]	m	['Lombard']
svo	125	Vera Elizabeth Claythorne	subj	hanged	hang	62411	False	[125]	f	['she']	125	Vera Elizabeth Claythorne	obj	[125]	f	['herself']
svo	74	Isaac Morris	subj	interviewed	interview	65363	False	[74]	m	['he']	84	Edward George Armstrong	obj	[86]	m	['him']
svo	125	Vera Elizabeth Claythorne	subj	hanged	hang	66338	False	[125]	f	['Vera Claythorne']	125	Vera Elizabeth Claythorne	obj	[125]	f	['herself']
